Justin Gaethje,Record: 19-2-0,"5' 11""",155 lbs.,"70""",Orthodox,11/14/1988,8.53, 0.54 , 0.53 ,0, -   , 0.80 ,0
James Vick,Record: 13-2-0,"6' 3""",155 lbs.,"76""",Orthodox,2/23/1987,4.16, 0.38 , 0.62 ,0.32, 0.33 , 0.56 ,0.8
Michael Johnson,Record: 19-13-0,"5' 10""",145 lbs.,"73""",Southpaw,6/4/1986,4.15, 0.37 , 0.57 ,0.56, 0.42 , 0.77 ,0.1
Andre Fili,Record: 18-6-0,"5' 11""",145 lbs.,"74""",Orthodox,6/25/1990,3.72, 0.36 , 0.53 ,2.8, 0.46 , 0.69 ,0.2
Cortney Casey,Record: 8-6-0,"5' 7""",115 lbs.,"67""",Orthodox,5/5/1987,4.8, 0.38 , 0.52 ,0.4, 0.30 , 0.24 ,0.5
Angela Hill,Record: 8-5-0,"5' 3""",115 lbs.,"64""",Orthodox,1/12/1985,5.79, 0.51 , 0.63 ,0.42, 0.60 , 0.74 ,0
Bryan Barberena,Record: 14-5-0,"6' 0""",170 lbs.,"72""",Southpaw,5/3/1989,4.98, 0.49 , 0.49 ,0.34, 0.40 , 0.47 ,0.3
Jake Ellenberger,Record: 31-15-0,"5' 9""",170 lbs.,"71""",Orthodox,3/28/1985,2.47, 0.39 , 0.60 ,2.04, 0.47 , 0.86 ,0.4
Deiveson Figueiredo,Record: 15-0-0,"5' 5""",125 lbs.,"68""",Orthodox,12/18/1987,2.25, 0.54 , 0.54 ,2.46, 0.53 , 0.50 ,3.9
John Moraga,Record: 19-7-0,"5' 6""",125 lbs.,"66""",Orthodox,3/20/1984,2.57, 0.43 , 0.56 ,0.62, 0.23 , 0.44 ,1.1
Eryk Anders,Record: 11-1-0,"6' 1""",185 lbs.,"75""",Southpaw,4/21/1987,3.06, 0.51 , 0.51 ,1.56, 0.33 , 0.63 ,0
Tim Williams,Record: 15-5-0,"6' 2""",185 lbs.,"76""",Orthodox,7/3/1986,3.07, 0.38 , 0.48 ,1.81, 0.40 , 1.00 ,0
James Krause,Record: 25-8-0,"6' 2""",170 lbs.,"73""",Orthodox,6/4/1986,4.57, 0.46 , 0.61 ,1.18, 0.18 , 0.46 ,0.7
Warlley Alves,Record: 13-3-0,"5' 11""",170 lbs.,"72""",Orthodox,1/4/1991,2.88, 0.46 , 0.49 ,1.22, 0.44 , 0.80 ,0.9
Cory Sandhagen,Record: 9-1-0,"5' 11""",135 lbs.,"70""",Switch,4/20/1992,9.85, 0.56 , 0.64 ,1.01, 1.00 , -   ,0
Iuri Alcantara,Record: 35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,8/4/1980,2.72, 0.45 , 0.49 ,1.44, 0.62 , 0.60 ,0.8
Andrew Sanchez,Record: 11-4-0,"6' 1""",185 lbs.,"74""",Orthodox,4/8/1988,4.83, 0.48 , 0.48 ,2.79, 0.37 , 1.00 ,0
Markus Perez,Record: 10-2-0,"6' 1""",185 lbs.,"73""",Orthodox,6/22/1988,2.55, 0.47 , 0.49 ,1.31, 0.42 , 0.81 ,1.3
Mickey Gall,Record: 5-1-0,"6' 2""",170 lbs.,"74""",Switch,1/22/1992,1.47, 0.52 , 0.43 ,2.33, 0.66 , 0.50 ,5.2
George Sullivan,Record: 17-7-0 (1 NC),"6' 0""",170 lbs.,"73""",Orthodox,3/13/1981,3.53, 0.39 , 0.57 ,1.37, 0.20 , 0.38 ,0.7
Drew Dober,Record: 20-8-0 (1 NC),"5' 8""",170 lbs.,"70""",Southpaw,10/19/1988,4.45, 0.38 , 0.54 ,1.07, 0.17 , 0.60 ,0.1
Jon Tuck,Record: 10-5-0,"5' 11""",155 lbs.,"73""",Orthodox,8/28/1984,3, 0.40 , 0.60 ,0.42, 0.33 , 0.50 ,1
Rani Yahya,Record: 26-9-0 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,9/12/1984,1.48, 0.38 , 0.50 ,3.13, 0.34 , 0.22 ,2.3
Luke Sanders,Record: 12-3-0,"5' 6""",135 lbs.,"67""",Southpaw,12/12/1985,5.92, 0.51 , 0.55 ,0.44, 0.33 , 0.70 ,0.4
TJ Dillashaw,Record: 17-3-0,"5' 6""",135 lbs.,"67""",Orthodox,2/7/1986,5.38, 0.41 , 0.66 ,1.69, 0.37 , 0.86 ,1
Cody Garbrandt,Record: 11-2-0,"5' 8""",135 lbs.,"65""",Orthodox,7/7/1991,3.48, 0.37 , 0.66 ,1, 0.33 , 1.00 ,0
Henry Cejudo,Record: 13-2-0,"5' 4""",125 lbs.,"64""",Orthodox,2/9/1987,3.42, 0.42 , 0.67 ,2.31, 0.35 , 0.88 ,0.1
Demetrious Johnson,Record: 27-3-1,"5' 3""",125 lbs.,"66""",Orthodox,8/13/1986,3.43, 0.54 , 0.67 ,3.35, 0.56 , 0.65 ,0.5
Renato Moicano,Record: 13-1-1,"5' 11""",145 lbs.,"72""",Orthodox,5/21/1989,5.71, 0.46 , 0.68 ,1.27, 0.54 , 0.76 ,0.4
Cub Swanson,Record: 25-10-0,"5' 8""",145 lbs.,"70""",Orthodox,11/2/1983,4.16, 0.49 , 0.62 ,1.17, 0.52 , 0.60 ,0.5
JJ Aldrich,Record: 7-2-0,"5' 5""",115 lbs.,"67""",Southpaw,9/29/1992,3.72, 0.39 , 0.63 ,0.25, 0.16 , 0.58 ,0
Polyana Viana,Record: 10-2-0,"5' 5""",115 lbs.,"67""",Orthodox,6/14/1992,3.08, 0.39 , 0.51 ,1.59, 0.28 , 0.50 ,2.4
Thiago Santos,Record: 18-6-0,"6' 0""",185 lbs.,"76""",Orthodox,1/7/1984,4.59, 0.47 , 0.63 ,0.85, 0.33 , 0.72 ,0.2
Kevin Holland,Record: 13-4-0,"6' 3""",185 lbs.,"81""",Orthodox,11/5/1992,3.8, 0.46 , 0.56 ,0, -   , 0.55 ,0.5
Pedro Munhoz,Record: 16-3-0 (1 NC),"5' 6""",135 lbs.,"64""",Orthodox,9/7/1986,4.79, 0.41 , 0.58 ,1.15, 0.21 , 0.71 ,1.3
Brett Johns,Record: 15-2-0,"5' 7""",135 lbs.,"71""",Orthodox,2/21/1992,3.41, 0.45 , 0.55 ,3.72, 0.48 , 0.78 ,0.5
Ricky Simon,Record: 14-1-0,"5' 6""",135 lbs.,"69""",Orthodox,8/31/1992,2.38, 0.41 , 0.67 ,7.67, 0.50 , 0.64 ,0.3
