Jeremy Stephens,Record: 28-15-0,"5' 8""",145 lbs.,"71""",Orthodox,25-May-86,3.1,40%,59%,,1.16,36%,64%,0.4
Dooho Choi,Record: 14-3-0,"5' 10""",145 lbs.,"70""",Orthodox,10-Apr-91,5.64,53%,54%,,0.55,20%,50%,0
Jessica-Rose Clark,Record: 9-5-0 (1 NC),"5' 5""",125 lbs.,"64""",Orthodox,28-Nov-87,4.6,50%,61%,,1.33,66%,57%,0.7
Paige VanZant,Record: 7-4-0,"5' 4""",115 lbs.,"65""",Orthodox,26-Mar-94,3.47,51%,43%,,1.41,34%,40%,0.7
Kamaru Usman,Record: 13-1-0,"6' 0""",170 lbs.,"76""",Switch,11-May-87,3.64,48%,63%,,3.85,47%,100%,0.3
Emil Meek,Record: 9-4-1 (1 NC),"5' 11""",170 lbs.,"74""",Switch,20-Aug-88,2.24,38%,32%,,0.33,50%,48%,1.3
Darren Elkins,Record: 25-6-0,"5' 10""",145 lbs.,"71""",Orthodox,16-May-84,3.29,37%,54%,,2.64,35%,60%,1.4
Michael Johnson,Record: 19-13-0,"5' 10""",145 lbs.,"73""",Southpaw,4-Jun-86,4.15,37%,57%,,0.56,42%,77%,0.1
James Krause,Record: 25-8-0,"6' 2""",170 lbs.,"73""",Orthodox,4-Jun-86,4.57,46%,61%,,1.18,18%,46%,0.7
Alex White,Record: 12-4-0,"6' 0""",155 lbs.,"71""",Southpaw,22-Oct-88,3.87,40%,64%,,0.9,45%,70%,0.2
Polo Reyes,Record: 8-5-0,"5' 11""",155 lbs.,"71""",,7-Nov-84,6.69,39%,65%,,0,0%,40%,0
Matt Frevola,Record: 6-1-0,"5' 9""",155 lbs.,"71""",Orthodox,11-Jun-90,3.04,34%,53%,,3.15,50%,100%,3.1
Irene Aldana,Record: 8-4-0,"5' 9""",135 lbs.,"68""",Orthodox,26-Mar-88,5.82,40%,57%,,0.67,66%,95%,0
Talita Bernardo,Record: 5-3-0,"5' 4""",135 lbs.,"68""",Orthodox,4-Mar-87,2.27,38%,57%,,2.01,22%,50%,0.5
Kyung Ho Kang,Record: 14-8-0 (1 NC),"5' 9""",135 lbs.,"72""",Orthodox,9-Sep-87,2.39,42%,58%,,2.29,66%,75%,1.3
Guido Cannetti,Record: 8-4-0,"5' 6""",135 lbs.,"68""",Southpaw,19-Dec-79,2.67,51%,55%,,2.52,50%,81%,0.4
Jessica Eye,Record: 13-6-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,27-Jul-86,3.42,36%,59%,,0.59,71%,60%,0.8
